armrest_numstrokes,backrest_numstrokes,beak_numstrokes,body_numstrokes,bumper_numstrokes,door_numstrokes,ear_numstrokes,eye_numstrokes,feet_numstrokes,head_numstrokes,headlight_numstrokes,hood_numstrokes,leg_numstrokes,mouth_numstrokes,neck_numstrokes,paw_numstrokes,seat_numstrokes,tail_numstrokes,trunk_numstrokes,unknown_numstrokes,wheel_numstrokes,window_numstrokes,windshield_numstrokes,wing_numstrokes,armrest_total_arclength,backrest_total_arclength,beak_total_arclength,body_total_arclength,bumper_total_arclength,door_total_arclength,ear_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,headlight_total_arclength,hood_total_arclength,leg_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength,seat_total_arclength,tail_total_arclength,trunk_total_arclength,unknown_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,wing_total_arclength
0,0,1,3,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,30,582,0,0,0,0,47,146,0,0,462,0,0,0,0,0,0,0,0,0,0,430
0,0,1,3,0,0,0,2,2,4,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,33,858,0,0,0,92,156,538,0,0,57,0,0,0,0,422,0,0,0,0,0,124
0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,2,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1269,0,0,0,82,60,0,0,0,168,0,0,0,0,0,0,0,0,0,0,69
0,0,0,9,0,0,0,2,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2076,0,0,0,26,228,182,0,0,189,0,0,0,0,0,0,0,0,0,0,245
0,0,0,3,0,0,0,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1341,0,0,0,0,71,48,0,0,261,0,0,0,0,0,0,0,0,0,0,40
0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1287,0,0,0,10,240,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
0,0,0,3,0,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,0,0,0,0,328,1520,0,0,471,0,0,0,0,0,0,0,0,0,0,0
0,0,2,9,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,43,1473,0,0,0,0,51,0,0,0,453,0,0,0,0,0,0,0,0,0,0,125
0,0,2,3,0,0,0,6,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1299,0,0,0,180,81,1102,0,0,108,0,0,0,0,0,0,0,0,0,0,82
